type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,WednesdayDHWTime,Mittwoch Warmwasserzeit,,,b509,0d4500,ttm,,TTM,,,Mittwoch Warmwasserzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,,WednesdayDHWTime,Mittwoch Warmwasserzeit,,,b509,0e4500,ttm,,TTM,,,Mittwoch Warmwasserzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,ThursdayDHWTime,Donnerstag Warmwasserzeit,,,b509,0d4600,ttm,,TTM,,,Donnerstag Warmwasserzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,,ThursdayDHWTime,Donnerstag Warmwasserzeit,,,b509,0e4600,ttm,,TTM,,,Donnerstag Warmwasserzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,FridayDHWTime,Freitag Warmwasserzeit,,,b509,0d4700,ttm,,TTM,,,Freitag Warmwasserzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,,FridayDHWTime,Freitag Warmwasserzeit,,,b509,0e4700,ttm,,TTM,,,Freitag Warmwasserzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,SaturdayDHWTime,Samstag Warmwasserzeit,,,b509,0d4800,ttm,,TTM,,,Samstag Warmwasserzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,,SaturdayDHWTime,Samstag Warmwasserzeit,,,b509,0e4800,ttm,,TTM,,,Samstag Warmwasserzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,SundayDHWTime,Sonntag Warmwasserzeit,,,b509,0d4900,ttm,,TTM,,,Sonntag Warmwasserzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,,SundayDHWTime,Sonntag Warmwasserzeit,,,b509,0e4900,ttm,,TTM,,,Sonntag Warmwasserzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,MondayDHWState,Montag Warmwasserzustand,,,b509,0d4a00,onoff,,UCH,0=off;1=on,,Montag Warmwasserzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
w,,,MondayDHWState,Montag Warmwasserzustand,,,b509,0e4a00,onoff,,UCH,0=off;1=on,,Montag Warmwasserzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
r,,,TuesdayDHWState,Dienstag Warmwasserzustand,,,b509,0d4b00,onoff,,UCH,0=off;1=on,,Dienstag Warmwasserzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
w,,,TuesdayDHWState,Dienstag Warmwasserzustand,,,b509,0e4b00,onoff,,UCH,0=off;1=on,,Dienstag Warmwasserzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
r,,,WednesdayDHWState,Mittwoch Warmwasserzustand,,,b509,0d4c00,onoff,,UCH,0=off;1=on,,Mittwoch Warmwasserzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
w,,,WednesdayDHWState,Mittwoch Warmwasserzustand,,,b509,0e4c00,onoff,,UCH,0=off;1=on,,Mittwoch Warmwasserzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
r,,,ThursdayDHWState,Donnerstag Warmwasserzustand,,,b509,0d4d00,onoff,,UCH,0=off;1=on,,Donnerstag Warmwasserzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
